,is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces,Country,Region,Population,Area(sq.mi.),Pop.Density(persq.mi.),Coastline(coast/arearatio),Netmigration,Infantmortality(per1000births),GDP($percapita),Literacy(%),Phones(per1000),Arable(%),Crops(%),Other(%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
29,0.21568627450980393,77.33333333333333,0.0,0.0,0.0196078431372549,0.5098039215686274,1.1176470588235294,2.3137254901960786,1.5490196078431373,0.0784313725490196,0.0,98.62627450980392,0.0196078431372549,Cyprus,NEAREAST,784301,9250,84.8,7.01,0.43,7.18,19200.0,97.6,236.0606195,7.79,4.44,87.77,3.0,12.56,7.68,0.037,0.198,0.765
30,0.16714697406340057,137.36764100452862,0.0034307671195279266,0.0017839989021545218,0.005763688760806916,0.2278029367366543,0.9790037052284891,2.5597639632221765,1.880472073555647,0.06545903664059284,0.002470152326060107,104.39675586661178,0.033347056401811445,Germany,WESTERNEUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,3.0,8.25,10.62,0.009,0.296,0.695
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,273.0,0.0,Djibouti,SUB-SAHARANAFRICA,486530,23000,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,1.0,39.53,19.31,0.179,0.225,0.596
32,0.0,124.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,105.3,0.0,Dominica,LATINAMER.&CARIB,68910,754,91.4,19.63,-13.87,14.15,5400.0,94.0,304.8,6.67,20.0,73.33,2.0,15.27,6.73,0.177,0.328,0.495
33,0.25057471264367814,113.13103448275862,0.0022988505747126436,0.0,0.0022988505747126436,0.271264367816092,1.0482758620689656,2.9655172413793105,1.9333333333333333,0.21149425287356322,0.009195402298850575,117.58280459770114,0.041379310344827586,Denmark,WESTERNEUROPE,5450661,43094,126.5,16.97,2.48,4.56,31100.0,100.0,614.6,54.02,0.19,45.79,3.0,11.13,10.36,0.018,0.246,0.735
34,0.20388349514563106,36.66990291262136,0.019417475728155338,0.009708737864077669,0.06796116504854369,0.27184466019417475,1.1262135922330097,2.9611650485436893,1.6310679611650485,0.10679611650485436,0.0,112.53611650485436,0.019417475728155338,Algeria,NORTHERNAFRICA,32930091,2381740,13.8,0.04,-0.39,31.0,6000.0,70.0,78.1,3.22,0.25,96.53,1.0,17.14,4.61,0.101,0.6,0.298
35,0.2962962962962963,28.703703703703702,0.0,0.0,0.0,0.037037037037037035,0.9259259259259259,2.4814814814814814,1.8888888888888888,0.2222222222222222,0.0,129.0511111111111,0.07407407407407407,Ecuador,LATINAMER.&CARIB,13547510,283560,47.8,0.79,-8.58,23.66,3300.0,92.5,125.6,5.85,4.93,89.22,2.0,22.29,4.23,0.07,0.312,0.618
36,0.34375,68.65625,0.0,0.0,0.0,1.125,1.4375,2.8125,1.53125,0.1875,0.0,117.6609375,0.0,Egypt,NORTHERNAFRICA,78887007,1001450,78.8,0.24,-0.22,32.59,4000.0,57.7,131.8,2.87,0.48,96.65,1.0,22.94,5.23,0.149,0.357,0.493
37,0.2540849673202614,54.851540616246496,0.01050420168067227,0.007119514472455649,0.01657329598506069,0.2407796451914099,0.8293650793650794,2.246965452847806,1.9391923436041083,0.16479925303454715,0.014705882352941176,116.99546335200748,0.1395891690009337,Spain,WESTERNEUROPE,40397842,504782,80.0,0.98,0.99,4.42,22000.0,97.9,453.5,26.07,9.87,64.06,3.0,10.06,9.72,0.04,0.295,0.665
38,0.21686746987951808,98.89156626506023,0.0,0.0,0.0,0.21686746987951808,1.2409638554216869,3.4578313253012047,1.9156626506024097,0.18072289156626506,0.012048192771084338,114.06939759036145,0.0963855421686747,Estonia,BALTICS,1324333,45226,29.3,8.39,-3.16,7.87,12300.0,99.8,333.8,16.04,0.45,83.51,3.0,10.04,13.25,0.04,0.294,0.666
