iso_code,location,continent,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
TUV,Tuvalu,Oceania,245169.828,,0.28706896551724137,,,,,83.86,,373.067,,,27.25,,,,,67.57,
TWN,Taiwan,Asia,,,0.9938039215686274,,,545.749,0.8394,86.94,30.159500462534687,,42.2,,,,,,,80.46,
TZA,Tanzania,Africa,657.702,12.916,0.16175757575757574,,,7.168,0.1191,49.11,14.983500914076783,64.699,17.7,3.108,5.75,3.3,26.7,47.953,0.7,65.46,0.529
UGA,Uganda,Africa,3614.317,76.868,0.8094644696189496,,,59.955,0.9704,27.6,53.86269652650823,213.759,16.4,2.168,2.5,3.4,16.7,21.222,0.5,63.37,0.544
UKR,Ukraine,Europe,139944.23,2830.959,0.9738696939782823,,,443.101,0.6027,38.17,41.57124314442413,77.39,41.4,16.462,7.11,13.5,47.4,,8.8,72.06,0.779
URY,Uruguay,South America,303486.974,2230.34,1.0149901768172889,,,1776.525,0.41,84.8,37.5313802559415,19.751,35.6,14.655,6.93,14.0,19.9,,2.8,77.91,0.817
USA,United States,North America,305763.91,3331.912,1.0809381044487427,85.403,456.7,2708.533,0.292,69.47,48.491736745886655,35.608,38.3,15.413,10.79,19.1,24.6,,2.77,78.86,0.926
UZB,Uzbekistan,Asia,7325.418,47.274,1.0362475247524752,,,,,52.41,38.73373857404022,76.134,28.200000000000003,4.469,7.57,1.3,24.7,,4.0,71.72,0.72
VAT,Vatican,Europe,32178.218,,,,,,,,,,,,,,,,,75.12,
VCT,Saint Vincent and the Grenadines,North America,92642.292,1192.778,0.7840696117804552,,,1038.876,0.9724,30.43,,281.787,31.799999999999997,7.724,11.62,,,,2.6,72.53,0.738
VEN,Venezuela,South America,19528.686,206.913,1.0532015810276678,,,,,52.88,55.30235831809872,36.253,29.0,6.614,6.47,,,,0.8,72.06,0.711
VGB,British Virgin Islands,North America,233148.219,2042.64,,,,3104.878,,58.28,,207.973,,,13.67,,,,,79.07,
VIR,United States Virgin Islands,North America,252535.711,1316.861,,,,1149.744,0.421,,0.0,306.48,42.2,18.601,12.26,,,,,80.58,
VNM,Vietnam,Asia,118295.376,440.039,0.9429232283464567,,,880.538,0.9958,87.54,54.78276965265082,308.127,32.6,7.15,6.0,1.0,45.9,85.847,2.6,75.4,0.704
VUT,Vanuatu,Oceania,36784.149,42.847,0.6248993288590604,,,37.567,0.0132,49.66,29.298948811700182,22.662,23.1,4.394,12.02,2.8,34.5,25.209,,70.47,0.609
WLF,Wallis and Futuna,Oceania,306140.048,689.893,,,,,,58.67,,,,,,,,,,79.94,
WSM,Samoa,Oceania,75286.659,139.395,0.5865277777777778,,,,,80.02,,69.413,22.0,5.606,9.21,16.7,38.1,,,73.32,0.715
YEM,Yemen,Asia,354.487,64.072,0.7014241164241164,,,10.216,0.0289,2.34,25.49569469835466,53.508,20.3,2.922,5.35,7.6,29.2,49.542,0.7,66.12,0.47
ZAF,South Africa,Africa,67995.807,1712.946,1.0224019607843136,44.98,301.099,431.667,0.3512,35.13,43.93546617915905,46.754,27.299999999999997,5.344,5.52,8.1,33.2,43.993,2.32,64.13,0.709
ZMB,Zambia,Africa,17184.567,202.721,0.9299692937563971,,,180.456,0.3203,46.03,31.849652650822673,22.995,17.7,2.48,3.94,3.1,24.7,13.938,2.0,63.89,0.584
ZWE,Zimbabwe,Africa,16245.726,348.947,0.9776736842105263,,,148.804,0.4415,29.11,58.37132541133455,42.729,19.6,2.822,1.82,1.6,30.7,36.791,1.7000000000000002,61.49,0.571
