,location,continent,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Country,Region,Population,Area(sq.mi.),Pop.Density(persq.mi.),Coastline(coast/arearatio),Netmigration,Infantmortality(per1000births),GDP($percapita),Literacy(%),Phones(per1000),Arable(%),Crops(%),Other(%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
152,Tuvalu,Oceania,245169.828,,0.28706896551724137,,,,,83.86,,373.067,,,27.25,,,,,67.57,,Tuvalu,OCEANIA,11810,26,454.2,92.31,0.0,20.03,1100.0,,59.3,0.0,0.0,100.0,2.0,22.18,7.11,0.166,0.272,0.562
153,Taiwan,Asia,,,0.9938039215686274,,,545.749,0.8394,86.94,30.159500462534687,,42.2,,,,,,,80.46,,Taiwan,ASIA(EX.NEAREAST),23036087,35980,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,2.0,12.56,6.48,0.018,0.259,0.723
154,Tanzania,Africa,657.702,12.916,0.16175757575757574,,,7.168,0.1191,49.11,14.983500914076783,64.699,17.7,3.108,5.75,3.3,26.7,47.953,0.7,65.46,0.529,Tanzania,SUB-SAHARANAFRICA,37445392,945087,39.6,0.15,-2.06,98.54,600.0,78.2,4.0,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396
155,Uganda,Africa,3614.317,76.868,0.8094644696189496,,,59.955,0.9704,27.6,53.86269652650823,213.759,16.4,2.168,2.5,3.4,16.7,21.222,0.5,63.37,0.544,Uganda,SUB-SAHARANAFRICA,28195754,236040,119.5,0.0,0.0,67.83,1400.0,69.9,3.6,25.88,10.65,63.47,2.0,47.35,12.24,0.311,0.222,0.469
156,Ukraine,Europe,139944.23,2830.959,0.9738696939782823,,,443.101,0.6027,38.17,41.57124314442413,77.39,41.4,16.462,7.11,13.5,47.4,,8.8,72.06,0.779,Ukraine,C.W.OFIND.STATES,46710816,603700,77.4,0.46,-0.39,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,3.0,8.82,14.39,0.187,0.452,0.361
157,Uruguay,South America,303486.974,2230.34,1.0149901768172889,,,1776.525,0.41,84.8,37.5313802559415,19.751,35.6,14.655,6.93,14.0,19.9,,2.8,77.91,0.817,Uruguay,LATINAMER.&CARIB,3431932,176220,19.5,0.37,-0.32,11.95,12800.0,98.0,291.4,7.43,0.23,92.34,3.0,13.91,9.05,0.093,0.311,0.596
158,Uzbekistan,Asia,7325.418,47.274,1.0362475247524752,,,,,52.41,38.73373857404022,76.134,28.200000000000003,4.469,7.57,1.3,24.7,,4.0,71.72,0.72,Uzbekistan,C.W.OFIND.STATES,27307134,447400,61.0,0.0,-1.72,71.1,1700.0,99.3,62.9,10.83,0.83,88.34,1.0,26.36,7.84,0.342,0.229,0.43
159,Venezuela,South America,19528.686,206.913,1.0532015810276678,,,,,52.88,55.30235831809872,36.253,29.0,6.614,6.47,,,,0.8,72.06,0.711,Venezuela,LATINAMER.&CARIB,25730435,912050,28.2,0.31,-0.04,22.2,4800.0,93.4,140.1,2.95,0.92,96.13,2.0,18.71,4.92,0.04,0.419,0.541
160,Vietnam,Asia,118295.376,440.039,0.9429232283464567,,,880.538,0.9958,87.54,54.78276965265082,308.127,32.6,7.15,6.0,1.0,45.9,85.847,2.6,75.4,0.704,Vietnam,ASIA(EX.NEAREAST),84402966,329560,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,2.0,16.86,6.22,0.209,0.41,0.381
161,Vanuatu,Oceania,36784.149,42.847,0.6248993288590604,,,37.567,0.0132,49.66,29.298948811700182,22.662,23.1,4.394,12.02,2.8,34.5,25.209,,70.47,0.609,Vanuatu,OCEANIA,208869,12200,17.1,20.72,0.0,55.16,2900.0,53.0,32.6,2.46,7.38,90.16,2.0,22.72,7.82,0.26,0.12,0.62
162,Samoa,Oceania,75286.659,139.395,0.5865277777777778,,,,,80.02,,69.413,22.0,5.606,9.21,16.7,38.1,,,73.32,0.715,Samoa,OCEANIA,176908,2944,60.1,13.69,-11.7,27.71,5600.0,99.7,75.2,21.2,24.38,54.42,2.0,16.43,6.62,0.114,0.584,0.302
163,Yemen,Asia,354.487,64.072,0.7014241164241164,,,10.216,0.0289,2.34,25.49569469835466,53.508,20.3,2.922,5.35,7.6,29.2,49.542,0.7,66.12,0.47,Yemen,NEAREAST,21456188,527970,40.6,0.36,0.0,61.5,800.0,50.2,37.2,2.78,0.24,96.98,1.0,42.89,8.3,0.135,0.472,0.393
164,Zambia,Africa,17184.567,202.721,0.9299692937563971,,,180.456,0.3203,46.03,31.849652650822673,22.995,17.7,2.48,3.94,3.1,24.7,13.938,2.0,63.89,0.584,Zambia,SUB-SAHARANAFRICA,11502010,752614,15.3,0.0,0.0,88.29,800.0,80.6,8.2,7.08,0.03,92.9,2.0,41.0,19.93,0.22,0.29,0.489
165,Zimbabwe,Africa,16245.726,348.947,0.9776736842105263,,,148.804,0.4415,29.11,58.37132541133455,42.729,19.6,2.822,1.82,1.6,30.7,36.791,1.7000000000000002,61.49,0.571,Zimbabwe,SUB-SAHARANAFRICA,12236805,390580,31.3,0.0,0.0,67.69,1900.0,90.7,26.8,8.32,0.34,91.34,2.0,28.01,21.84,0.179,0.243,0.579
