country,is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces
Bulgaria,0.16,73.25333333333333,0.0,0.0,0.0,0.3466666666666667,1.0,2.506666666666667,1.8133333333333332,0.13333333333333333,0.0,111.89333333333333,0.04
Bahrain,0.8,173.8,0.0,0.0,0.0,0.8,0.8,2.4,1.8,0.6,0.0,145.32999999999998,0.0
Bahamas,0.0,159.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,50.85,0.0
Bosnia and Herzegovina,0.23076923076923078,59.69230769230769,0.0,0.0,0.0,0.15384615384615385,1.0769230769230769,2.230769230769231,1.6153846153846154,0.0,0.0,110.76538461538462,0.0
Belarus,0.34615384615384615,78.42307692307692,0.0,0.0,0.0,0.23076923076923078,1.0384615384615385,3.1153846153846154,1.5769230769230769,0.038461538461538464,0.0,103.31884615384615,0.038461538461538464
Bolivia,0.0,17.1,0.0,0.0,0.0,0.2,1.0,2.0,1.8,0.0,0.0,115.0,0.0
Brazil,0.3732014388489209,83.29001798561151,0.006294964028776978,0.01079136690647482,0.011241007194244604,0.2648381294964029,1.0260791366906474,2.4626798561151078,2.0008992805755397,0.1767086330935252,0.01079136690647482,111.00533723021583,0.0625
Barbados,0.0,192.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,95.0,0.0
Botswana,0.0,91.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,118.5,0.0
Central African Republic,0.0,109.4,0.0,0.0,0.0,0.2,0.4,2.4,1.4,0.0,0.0,79.664,0.0
Switzerland,0.24739884393063583,91.07167630057803,0.0017341040462427746,0.0,0.0005780346820809249,0.2300578034682081,1.0242774566473989,2.608092485549133,1.93757225433526,0.16473988439306358,0.005202312138728324,121.83013294797688,0.06994219653179191
Chile,0.24615384615384617,53.6,0.0,0.0,0.0,0.46153846153846156,1.0307692307692307,2.1846153846153844,1.9538461538461538,0.18461538461538463,0.0,118.89076923076922,0.12307692307692308
China,0.4624624624624625,42.74374374374374,0.008008008008008008,0.0,0.006006006006006006,0.2032032032032032,0.8058058058058059,1.8388388388388388,1.88988988988989,0.13313313313313313,0.002002002002002002,110.53893893893893,0.01901901901901902
Cote d'Ivoire,0.3333333333333333,30.666666666666668,0.0,0.0,0.0,0.8333333333333334,0.3333333333333333,3.5,1.8333333333333333,0.0,0.0,119.91666666666667,0.0
Cameroon,0.0,87.1,0.0,0.0,0.0,0.4,1.4,2.8,2.0,0.1,0.0,88.327,0.0
China,0.19859265050820954,118.85691946833464,0.003909304143862392,0.0,0.0023455824863174357,0.20797498045347929,1.236903831118061,2.7404222048475373,1.959343236903831,0.0985144644253323,0.007818608287724784,108.68844409695073,0.0906958561376075
Colombia,0.323943661971831,62.478873239436616,0.0,0.0,0.014084507042253521,0.28169014084507044,0.7887323943661971,1.7746478873239437,2.084507042253521,0.07042253521126761,0.014084507042253521,121.19802816901408,0.07042253521126761
Comoros,0.0,22.5,0.0,0.0,0.0,0.0,0.5,0.5,2.0,1.5,0.0,165.305,0.0
Cabo Verde,0.5,25.0,0.0,0.0,0.0,0.2916666666666667,1.6666666666666667,4.416666666666667,1.7916666666666667,0.0,0.0,91.69625,0.0
